X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,longitude,latitude
359838,173397,1,Lamb St/ John Cozens House.,359838,173397,-2.57944451768745,51.4581147462788
359820.77,173383.710000001,2,"Lamb Street Bus Stop PTZ, St Jude's",359820.77,173383.71,-2.57969098913472,51.4579940227451
359803.55,173394.85,3,"John Cozens House Gardens PTZ, St Jude's",359803.55,173394.85,-2.57994009234915,51.4580929585076
359767.45,173353.880000001,4,"Chartlon, Haviland & Langton Entrance Door's) Ext, St Jude's",359767.45,173353.88,-2.58045499693683,51.4577220058911
359788.97,173377.73,5,"Haviland House Laundry #2, St Jude's",359788.97,173377.73,-2.58014798693625,51.4579379860765
359788.97,173377.73,6,"Haviland House Laundry #1, St Jude's",359788.97,173377.73,-2.58014798693625,51.4579379860765
359801.02,173390.310000001,7,"Haviland House Lift, St Jude's",359801.02,173390.31,-2.57997598904666,51.458051957222
359801.02,173390.310000001,8,"Haviland House Lower Entrance Door Internal, St Jude's",359801.02,173390.31,-2.57997598904666,51.458051957222
359801.02,173390.310000001,9,"Havliand House Main Entrance Lobby, St Jude's",359801.02,173390.31,-2.57997598904666,51.458051957222
358329.27,167593.57,10,Middleford Rear PTZ,358329.27,167593.57,-2.60047303429621,51.4058259331973
359624.39,172233.039999999,11,Bath Bridge Roundabout,359624.39,172233.04,-2.58238604444243,51.4476339654214
359411.9,173201.289999999,12,Lower Castle Street (Bike Rack),359411.9,173201.29,-2.58555465582373,51.4563245143968
359269.52,173169.23,13,Castle Park (North),359269.52,173169.23,-2.58760008145351,51.4560259768433
359738.78,174050.439999999,14,"St Nicholas Road/Davey Street PTZ, St Paul's",359738.78,174050.44,-2.58094706818125,51.4639829837836
359706.76,174025,15,Corey Close Lane PTZ,359706.76,174025,-2.58140507204725,51.4637519564325
359665.15,174033.789999999,16,"St Paul's Gardens, Playground #2 PTZ, St Paul's",359665.15,174033.79,-2.58200502542922,51.4638280157324
359652.27,173995.630000001,17,"St Paul's Gardens, Play area #2 PTZ, St Paul's",359652.27,173995.63,-2.58218606039355,51.4634839836623
359700.19,174019.16,18,"St Paul's Gardens, Playground #1 PTZ, St Paul's",359700.19,174019.16,-2.58149897577784,51.4636989773577
359664.45,174050.140000001,19,"Ludlow Close #2 PTZ, St Paul's",359664.45,174050.14,-2.58201697088058,51.4639749745183
359598.19,174034.539999999,20,"Ludlow Close #1 PTZ, St Paul's",359598.19,174034.54,-2.58296895776497,51.4638299657156
359615.6,174005.380000001,21,"Burnnel Drive Lane, Burnell/Ludlow PTZ, St Paul's",359615.6,174005.38,-2.58271501354629,51.4635690244311
359620.24,174011.789999999,22,"Ludlow Close Lift, St Paul's",359620.24,174011.79,-2.58264895787008,51.4636269914147
359669.73,174051.1,23,"Corey Close Laundry, St Paul's",359669.73,174051.1,-2.58194107812397,51.4639839838784
359707.61,174017.99,24,"Corey Close Lift, St Paul's",359707.61,174017.99,-2.58139203629995,51.4636889877071
358905,173816.960000001,25,Dove Street-Spring Hill,358905,173816.96,-2.59292166610431,51.4618234939369
357664.4,168453.35,26,Whitchurch Lane Middle,357664.4,168453.35,-2.61013509267932,51.4135069443044
359561,173782,27,St Pauls Park,359561,173782,-2.58347533149599,51.4615566174588
362060.39,175149.24,28,Fishponds Road/Huyton Road,362060.39,175149.24,-2.54764705166209,51.4740229781374
361793.79,175035.01,29,Fishponds Road/Royate Hill,361793.79,175035.01,-2.55147294067439,51.4729779625061
361174.04,174883.65,30,Fishponds Road/Boswell Street,361174.04,174883.65,-2.56037896141041,51.4715749555762
361273.86,174957.52,31,Fishponds Road/Heath Street,361273.86,174957.52,-2.55894999546511,51.4722459543058
361456.35,175152.33,32,Fishponds Road/Muller Road (Shell Filling Station),361456.35,175152.33,-2.55634402191417,51.4740099428745
359597.33,173927,33,"Beggarswell Close #1 PTZ, St Paul's",359597.33,173927,-2.58296901945856,51.4628629717795
359599.9,173909.07,34,"Princes Street PTZ, St Paul's",359599.9,173909.07,-2.58292997333704,51.4627019405948
358860.51,167630.060000001,35,Willow House Laundry,358860.51,167630.06,-2.59284007081288,51.4061929824677
358807.27,167660.189999999,36,Oak House Laundry,358807.27,167660.19,-2.59360896787797,51.4064600083884
358908.99,167491.199999999,37,Hartcliffe Chestnut House Ground Floor Stairwell,358908.99,167491.2,-2.59212700373672,51.404947980895
358908.6,167572.84,38,Hartcliffe Rowan House Ground Floor Stairwell,358908.6,167572.84,-2.59214207840354,51.4056820023165
358859.83,167631.619999999,39,Hartcliffe Willow House Ground Floor Stairwell,358859.83,167631.62,-2.59285002783744,51.4062069593438
358883.15,167496.41,40,"Chestnut House, Rear PTZ",358883.15,167496.41,-2.59249908173467,51.4049929444901
358934.75,167537.15,41,"Rowan House, The Groves PTZ",358934.75,167537.15,-2.59176200588285,51.4053630053089
358881.61,167606.199999999,42,Willow House Front Door PTZ,358881.61,167606.2,-2.5925339618713,51.4059799871348
358806,167642,43,"oak house/willow rear door (externa bullet)
",358806,167642,-2.59362511091554,51.4062963640611
358825,167649,44,"Oak House, The Groves PTZ",358825,167649,-2.59335277420491,51.4063606890821
358934.75,167537.15,45,Chestnut House Rear Door (External Static),358934.75,167537.15,-2.59176200588285,51.4053630053089
358913.07,167488.720000001,46,Chestnut House Rear Lobby,358913.07,167488.72,-2.59206806245987,51.404925979372
