X,Y,OBJECTID,UNITID,LOCATION,USRN,STREET,EASTING,NORTHING,COLHEIGHT,COLMAT,UNIT_TYPE_DESCRIPTION,POSITION_DESCRIPTION,OWNER_DESCRIPTION,UNIT_NO,ASSET_NUMBER,COLTYPE,FAULT_MAINTENANCE_SUPPORT,INCLUDED_ON_ENERGY_REPORT,CMS_CONTROLLED,longitude,latitude
352783.8,177064.75,1,"10097706",Jim O Neil House,"4556244",Kilminster Road,352783.8,177064.75,4,,SL: Flood Light,,N&HS - HOUSING,F002,16401.03,,No,FALSE,,-2.68146206713599,51.4905449909967
352778.39,177072.470000001,2,"10097704",Jim O Neil House,"4556244",Kilminster Road,352778.39,177072.47,4,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.68154102349439,51.4906139445357
352787.56,177058.26,3,"10097708",Jim O Neil House,"4556244",Kilminster Road,352787.56,177058.26,4,,SL: Flood Light,,N&HS - HOUSING,F003,16401.05,,No,FALSE,,-2.68140704037508,51.4904869574817
352792.89,177048.869999999,4,"10097710",Jim O Neil House,"4556244",Kilminster Road,352792.89,177048.87,4,,SL: Flood Light,,N&HS - HOUSING,F004,16401.07,,No,FALSE,,-2.68132901165529,51.4904029829197
352752.63,177079.83,5,"10097712",Jim O Neil House,"4556244",Kilminster Road,352752.63,177079.83,1,,SL: Flood Light,,N&HS - HOUSING,F005,16401.09,,No,FALSE,,-2.68191301773199,51.4906779547371
357721.58,175984.550000001,6,"10097679",Wildcroft House,"4531560",Wildcroft Road,357721.58,175984.55,,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.61021606201483,51.4812249652337
357710.85,175963.4,7,"10097681",Wildcroft House,"4531560",Wildcroft Road,357710.85,175963.4,,,SL: Flood Light,,N&HS - HOUSING,F002,16401.03,,No,FALSE,,-2.61036803467032,51.4810340049873
357743.21,175954.449999999,8,"10097683",Wildcroft House,"4531560",Wildcroft Road,357743.21,175954.45,,,SL: Flood Light,,N&HS - HOUSING,F003,16401.05,,No,FALSE,,-2.60990097976609,51.4809559623972
357725.56,175945.26,9,"10097685",Wildcroft House,"4531560",Wildcroft Road,357725.56,175945.26,,,SL: Flood Light,,N&HS - HOUSING,F004,16401.07,,No,FALSE,,-2.61015403497447,51.4808720141722
355420.7,176805.73,10,"10097687",Hillhouse,"4536686",Woodend Walk,355420.7,176805.73,,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.64345199765054,51.4884309643072
355422.31,176783.58,11,"10097689",Hillhouse,"4536686",Woodend Walk,355422.31,176783.58,,,SL: Flood Light,,N&HS - HOUSING,F002,16401.03,,No,FALSE,,-2.64342601344549,51.4882319439166
355416.68,176767.390000001,12,"10097691",Hillhouse,"4536686",Woodend Walk,355416.68,176767.39,,,SL: Flood Light,,N&HS - HOUSING,F003,16401.05,,No,FALSE,,-2.64350504984365,51.488085936681
